Rooms,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Latitude,Longitude,Propertycount
2,1135000,2.5,3067,2,2,2,98,128,1920,-37.800499,144.995193,4019
4,1542000,2.5,3067,4,3,1,0,0,0,-37.7994,144.996506,4019
3,1290000,2.5,3067,3,2,2,147,18,0,-37.805,144.994293,4019
3,1290000,2.5,3067,3,1,1,168,124,1950,-37.800701,144.995804,4019
1,470000,2.5,3067,1,1,1,0,50,2013,-37.8055,144.996094,4019
2,1180000,2.5,3067,2,1,0,162,91,1900,-37.801601,144.995605,4019
3,1195000,2.5,3067,3,2,1,120,128,1998,-37.8022,144.995407,4019
2,1012500,2.5,3067,2,1,0,182,82,1900,-37.802101,144.997604,4019
2,1030000,2.5,3067,2,1,1,172,81,1930,-37.808601,144.994598,4019
3,840000,13.5,3042,3,2,1,303,225,2016,-37.717999,144.878006,3464
3,730000,13.5,3042,3,2,1,0,145,1965,-37.720299,144.875504,3464
3,770000,13.5,3042,3,2,1,0,145,1965,-37.720299,144.875504,3464
2,603000,13.5,3042,2,1,1,272,84,1950,-37.729401,144.888,3464
3,700000,13.5,3042,3,2,2,239,134,2009,-37.721802,144.883698,3464
3,600000,13.5,3042,2,1,1,290,116,1980,-37.727299,144.874405,3464
2,500000,13.5,3042,2,1,1,168,86,2011,-37.7215,144.886398,3464
3,720000,13.5,3042,2,1,1,620,0,0,-37.7173,144.887207,3464
4,785000,13.5,3042,3,1,2,597,127,0,-37.725899,144.879196,3464
6,725000,13.5,3042,6,3,2,976,186,1980,-37.7239,144.873505,3464
2,450000,13.5,3042,2,1,1,110,90,2015,-37.7216,144.871002,3464
2,515000,13.5,3042,2,1,1,141,73,2013,-37.729801,144.888306,3464
2,530000,13.5,3042,2,1,1,120,94,2012,-37.7234,144.879196,3464
3,895000,13.5,3042,3,1,6,1063,133,1975,-37.724899,144.872803,3464
3,805000,13.5,3042,3,1,1,0,105,1950,-37.721699,144.878296,3464
3,752000,13.5,3042,3,1,1,265,130,1993,-37.730202,144.885498,3464
2,440000,13.5,3042,2,1,1,192,0,0,-37.717701,144.878693,3464
5,755000,13.5,3042,3,2,2,596,0,0,-37.7248,144.869904,3464
3,700000,13.5,3042,3,2,2,165,133,2009,-37.727001,144.886993,3464
3,830000,13.5,3042,3,1,2,971,113,1960,-37.718601,144.876007,3464
2,462500,13.5,3042,2,1,1,164,0,2003,-37.721802,144.886307,3464
3,670000,13.5,3042,3,2,2,657,0,0,-37.726898,144.874207,3464
2,675000,13.5,3042,2,1,1,612,100,1975,-37.7187,144.876495,3464
3,1042000,13.5,3042,3,2,5,612,174,1950,-37.7173,144.879593,3464
3,910000,13.5,3042,3,1,1,775,0,0,-37.723099,144.883499,3464
4,773000,13.5,3042,5,3,4,531,309,1980,-37.726299,144.867905,3464
3,810000,13.5,3042,3,3,2,555,192,1980,-37.7285,144.8694,3464
3,715000,13.5,3042,3,2,2,422,126,1995,-37.7164,144.879196,3464
3,790000,13.5,3042,3,1,3,614,0,0,-37.719398,144.882706,3464
3,540000,13.5,3042,2,2,1,161,101,2010,-37.723099,144.880203,3464
3,825000,13.5,3042,3,2,1,293,102,1960,-37.720001,144.877594,3464
3,685000,13.5,3042,3,1,1,579,113,1975,-37.722599,144.873306,3464
3,805000,13.5,3042,3,1,1,623,0,0,-37.718399,144.882004,3464
2,510000,13.5,3042,2,1,1,141,76,0,-37.7202,144.8797,3464
3,612000,13.5,3042,3,2,1,212,0,0,-37.718102,144.882401,3464
3,662000,13.5,3042,3,1,2,612,0,0,-37.7169,144.8815,3464
4,978000,13.5,3042,4,3,2,532,0,0,-37.726299,144.869003,3464
3,720000,13.5,3042,3,1,1,585,0,0,-37.720001,144.878006,3464
4,765000,13.5,3042,4,1,2,509,0,0,-37.726101,144.878494,3464
4,900000,13.5,3042,4,2,3,628,146,1975,-37.725601,144.873901,3464
2,1275000,3.3,3206,2,1,0,120,82,1900,-37.845901,144.955505,3280
2,1455000,3.3,3206,2,1,0,159,0,0,-37.845001,144.953796,3280
3,2850000,3.3,3206,3,2,0,211,198,1890,-37.848099,144.949905,3280
3,1850000,3.3,3206,3,2,0,128,133,1890,-37.8452,144.948807,3280
2,1436000,3.3,3206,2,1,0,130,81,1900,-37.843102,144.956497,3280
2,1110000,3.3,3206,1,1,0,147,0,1900,-37.844398,144.948395,3280
2,1550000,3.3,3206,2,1,1,167,0,0,-37.8405,144.952103,3280
4,2300000,3.3,3206,4,2,1,153,180,1880,-37.8447,144.952301,3280
3,1550000,3.3,3206,3,2,2,718,0,0,-37.844299,144.959793,3280
3,1800000,3.3,3206,3,2,1,132,159,1996,-37.841499,144.951996,3280
2,2120000,3.3,3206,2,1,1,199,107,1900,-37.842201,144.955399,3280
3,1800000,3.3,3206,3,1,1,253,0,0,-37.844299,144.957901,3280
3,1800000,3.3,3206,3,2,1,90,122,1900,-37.842098,144.957108,3280
2,1810000,3.3,3206,2,1,0,240,0,0,-37.837898,144.953903,3280
3,2615000,3.3,3206,3,2,1,177,181,1880,-37.841499,144.958496,3280
5,2100000,3.3,3206,5,2,1,237,0,0,-37.843601,144.955704,3280
3,1300000,3.3,3206,3,1,0,129,0,0,-37.842201,144.949005,3280
3,1370000,3.3,3206,3,2,2,0,85,2000,-37.8451,144.951096,3280
2,1000000,3.3,3206,2,1,0,288,0,0,-37.840698,144.952301,3280
3,2575000,3.3,3206,3,2,1,228,0,0,-37.844501,144.950104,3280
2,1322500,3.3,3206,2,1,0,149,98,1890,-37.844299,144.948105,3280
2,1562500,3.3,3206,2,1,0,141,83,1890,-37.8424,144.956207,3280
3,2000000,3.3,3206,3,2,1,211,147,1900,-37.847,144.957504,3280
3,1900000,3.3,3206,3,1,0,209,0,1900,-37.846802,144.954605,3280
3,3010000,3.3,3206,3,2,0,147,146,1890,-37.847301,144.955093,3280
4,2800000,3.3,3206,4,3,1,327,254,1910,-37.846699,144.947495,3280
2,647000,3.3,3206,2,1,1,0,0,0,-37.846001,144.954193,3280
3,2100000,3.3,3206,2,1,1,120,123,1900,-37.842701,144.954605,3280
3,2000000,3.3,3206,3,1,1,238,131,1890,-37.8461,144.952805,3280
1,442500,3.3,3206,1,1,0,0,34,1970,-37.842098,144.951706,3280
4,4735000,3.3,3206,4,2,1,330,207,1910,-37.847698,144.955795,3280
2,1340000,3.3,3206,2,1,0,136,0,0,-37.846001,144.951706,3280
3,1801000,3.3,3206,3,1,1,202,0,0,-37.842899,144.949295,3280
3,1532000,3.3,3206,3,3,1,0,0,0,-37.841499,144.958496,3280
3,3755000,3.3,3206,3,2,2,325,0,0,-37.841301,144.949997,3280
4,2140000,3.3,3206,3,2,1,183,145,1880,-37.843399,144.949493,3280
2,1750000,3.3,3206,2,1,1,162,0,0,-37.841599,144.948807,3280
2,980000,3.3,3206,2,1,0,79,68,1890,-37.838699,144.951904,3280
3,2030000,3.3,3206,3,2,0,152,0,0,-37.848801,144.955093,3280
3,1740000,3.3,3206,3,2,2,147,134,1890,-37.844799,144.945297,3280
3,2800000,3.3,3206,3,3,1,0,0,0,-37.839901,144.957703,3280
1,985000,3.3,3206,1,1,0,81,54,1900,-37.841099,144.949707,3280
4,2000000,6.4,3078,3,2,4,853,263,1930,-37.770699,145.031799,2211
3,1110000,6.4,3078,3,2,2,208,0,2013,-37.7854,145.032501,2211
3,1492000,6.4,3078,3,2,2,411,0,0,-37.771301,145.027893,2211
4,1717500,6.4,3078,4,2,1,599,203,1925,-37.771702,145.031006,2211
5,2840000,6.4,3078,5,4,4,809,165,1910,-37.775002,145.026794,2211
2,525500,6.4,3078,2,1,1,88,60,1960,-37.779099,145.030594,2211
2,805000,6.4,3078,2,2,3,155,140,2004,-37.780399,145.030807,2211
2,465000,6.4,3078,2,1,1,0,0,0,-37.777302,145.031403,2211
3,2000000,6.4,3078,3,3,2,686,0,0,-37.779999,145.034103,2211
3,1540000,6.4,3078,3,1,2,592,0,0,-37.775501,145.028793,2211
2,820000,6.4,3078,2,1,1,183,0,0,-37.7747,145.026398,2211
4,1830000,6.4,3078,4,2,2,606,112,1970,-37.7743,145.031601,2211
4,2100000,6.4,3078,4,2,2,575,271,2008,-37.772301,145.031906,2211
3,865000,6.4,3078,3,1,1,180,131,2010,-37.780201,145.024307,2211
2,390000,6.4,3078,2,1,1,0,60,1960,-37.777302,145.031403,2211
2,650000,6.4,3078,0,1,0,0,0,0,-37.784801,145.024994,2211
2,512000,6.4,3078,2,1,1,0,61,1965,-37.780499,145.026199,2211
3,1165000,6.4,3078,3,1,2,979,0,0,-37.779202,145.029007,2211
4,1900000,6.4,3078,4,2,2,556,272,1930,-37.784401,145.022507,2211
3,1485000,6.4,3078,3,0,0,597,0,0,-37.778099,145.028397,2211
4,1950000,6.4,3078,4,2,3,589,210,1920,-37.7719,145.030899,2211
3,520000,13.8,3018,3,2,1,352,242,2015,-37.869999,144.824997,5301
5,1525000,13.8,3018,5,3,3,729,268,2005,-37.872101,144.810501,5301
2,720000,13.8,3018,2,1,2,292,125,2013,-37.868698,144.819702,5301
3,1120000,13.8,3018,3,1,2,506,120,1930,-37.869301,144.837494,5301
4,780000,13.8,3018,4,1,4,655,0,0,-37.868,144.815399,5301
4,1780000,13.8,3018,4,3,6,1057,220,1962,-37.868099,144.819,5301
3,630000,13.8,3018,2,1,2,311,94,1955,-37.870201,144.814301,5301
2,406000,13.8,3018,2,1,1,65,0,0,-37.869301,144.817093,5301
3,660000,13.8,3018,3,1,1,602,123,1955,-37.861599,144.8116,5301
3,683500,13.8,3018,3,1,1,530,0,0,-37.859402,144.817001,5301
2,580000,13.8,3018,2,1,1,225,93,1988,-37.869598,144.826996,5301
3,1335000,13.8,3018,3,1,4,777,22,1953,-37.869701,144.824905,5301
3,800000,13.8,3018,3,2,2,280,0,1997,-37.873402,144.814301,5301
2,510000,13.8,3018,2,1,1,127,76,1990,-37.868599,144.818207,5301
4,1070000,13.8,3018,4,2,2,695,0,0,-37.873299,144.814697,5301
2,425000,13.8,3018,2,1,2,115,57,1980,-37.870998,144.818497,5301
3,605000,13.8,3018,3,2,2,230,0,0,-37.864601,144.826996,5301
3,705000,13.8,3018,3,2,2,197,152,0,-37.857899,144.8181,5301
2,391000,13.8,3018,2,1,1,0,65,1965,-37.867802,144.838394,5301
2,440000,13.8,3018,2,1,1,0,0,0,-37.865898,144.830994,5301
4,845000,13.8,3018,4,1,2,745,130,1950,-37.865799,144.815506,5301
3,743000,13.8,3018,3,2,2,211,176,0,-37.869801,144.815994,5301
3,730000,13.8,3018,3,2,1,69,141,2014,-37.868,144.828598,5301
3,635000,13.8,3018,3,1,4,625,0,1960,-37.861099,144.811401,5301
2,620000,13.8,3018,2,1,1,168,0,0,-37.867599,144.820206,5301
2,447000,13.8,3018,2,1,1,137,77,1990,-37.865501,144.829895,5301
3,730000,13.8,3018,3,2,1,70,0,0,-37.868,144.828705,5301
3,678000,13.8,3018,3,1,2,606,87,1950,-37.860802,144.812393,5301
2,580000,13.8,3018,2,2,1,175,76,2013,-37.868698,144.826797,5301
3,712000,13.8,3018,3,1,2,363,0,0,-37.867401,144.837494,5301
3,840000,13.8,3018,3,2,2,534,136,1965,-37.860001,144.824493,5301
3,980000,13.8,3018,3,1,2,724,0,0,-37.867199,144.817001,5301
3,605100,13.8,3018,3,2,0,265,0,0,-37.858299,144.8172,5301
3,880000,13.8,3018,3,3,1,577,0,0,-37.8699,144.823502,5301
3,577000,13.8,3018,3,2,1,205,113,2007,-37.868401,144.815002,5301
4,1030000,13.8,3018,4,1,0,797,0,0,-37.866299,144.838699,5301
3,605000,13.8,3018,3,1,2,181,0,0,-37.865898,144.822006,5301
3,753000,13.8,3018,3,2,2,529,0,0,-37.861198,144.824707,5301
2,857000,13.8,3018,2,2,1,675,100,1950,-37.865299,144.812897,5301
3,1500000,13.8,3018,3,1,1,929,0,0,-37.865101,144.832001,5301
3,730000,13.8,3018,3,2,1,70,3,2014,-37.868,144.828506,5301
3,900000,13.8,3018,3,1,4,697,0,0,-37.870998,144.807495,5301
3,740000,13.8,3018,3,1,2,604,0,0,-37.863098,144.819504,5301
4,931000,13.8,3018,4,2,3,532,0,1970,-37.863701,144.836502,5301
2,535600,13.8,3018,2,1,1,154,91,1996,-37.864601,144.827194,5301
5,1085000,11.1,3025,5,3,6,592,251,1965,-37.838799,144.856705,5132
3,781000,11.1,3025,3,1,2,533,117,1970,-37.829102,144.835007,5132
3,750000,11.1,3025,3,1,3,554,0,0,-37.844898,144.850006,5132
2,421000,11.1,3025,2,1,1,77,77,2009,-37.835098,144.852905,5132
3,1405000,11.1,3025,3,1,3,655,0,0,-37.833801,144.856201,5132
3,683000,11.1,3025,3,1,2,534,167,1967,-37.8284,144.835495,5132
3,623000,11.1,3025,3,1,3,540,0,0,-37.826698,144.836807,5132
3,720000,11.1,3025,3,2,1,0,130,2012,-37.837898,144.858307,5132
3,588000,11.1,3025,3,1,1,328,118,1970,-37.838001,144.855499,5132
3,710000,11.1,3025,3,1,3,540,116,1960,-37.829399,144.837799,5132
4,875000,11.1,3025,3,1,4,559,169,1965,-37.844799,144.852905,5132
3,700000,11.1,3025,3,1,3,554,0,0,-37.844898,144.850006,5132
2,640000,11.1,3025,2,1,1,252,0,1965,-37.839699,144.860199,5132
4,650000,11.1,3025,4,1,4,558,0,0,-37.8451,144.852905,5132
3,675000,11.1,3025,3,2,2,171,109,2012,-37.833698,144.855392,5132
3,708000,11.1,3025,3,1,2,585,97,1960,-37.825802,144.852295,5132
4,965000,11.1,3025,4,1,4,851,0,0,-37.834499,144.844406,5132
3,680000,11.1,3025,3,1,3,551,0,0,-37.825401,144.851395,5132
3,770000,11.1,3025,3,1,3,602,603,0,-37.832699,144.845093,5132
3,923000,11.1,3025,3,1,2,740,0,0,-37.8269,144.845505,5132
4,693000,11.1,3025,4,2,4,315,170,2008,-37.8391,144.846695,5132
3,620000,11.1,3025,5,2,2,276,100,2010,-37.826199,144.844299,5132
3,728500,11.1,3025,3,1,1,531,157,1960,-37.827702,144.838501,5132
3,931000,11.1,3025,3,2,1,590,160,1950,-37.8382,144.864899,5132
3,988000,11.1,3025,3,1,4,715,0,2008,-37.8423,144.863205,5132
3,590000,11.1,3025,3,1,2,561,0,0,-37.844398,144.849106,5132
2,610000,11.1,3025,2,1,2,691,0,0,-37.834,144.855301,5132
3,815000,11.1,3025,3,2,3,555,130,1960,-37.831799,144.838806,5132
4,970000,11.1,3025,4,1,2,708,0,0,-37.833,144.849396,5132
4,760000,11.1,3025,4,1,3,668,0,0,-37.826199,144.843903,5132
4,847500,11.1,3025,4,3,1,252,0,0,-37.839298,144.856796,5132
4,1200000,11.1,3025,4,1,4,633,158,1960,-37.837502,144.854095,5132
3,700000,11.1,3025,3,1,1,557,0,0,-37.844101,144.850494,5132
3,625000,11.1,3025,3,1,1,536,0,0,-37.828499,144.835098,5132
2,292000,11.1,3025,2,1,1,153,70,1970,-37.833199,144.864899,5132
2,599000,6.3,3143,2,1,1,0,76,1964,-37.854301,145.026199,4836
2,550000,6.3,3143,2,1,0,861,0,0,-37.853901,145.028397,4836
3,995000,6.3,3143,3,2,2,0,100,1998,-37.855202,145.016006,4836
3,1205000,6.3,3143,3,2,2,101,105,2000,-37.854,145.013504,4836
3,1939000,6.3,3143,3,2,2,296,150,1889,-37.861401,145.027405,4836
1,421500,6.3,3143,1,1,0,0,0,0,-37.853001,145.016693,4836
3,1870000,6.3,3143,3,1,1,217,116,1888,-37.8592,145.018204,4836
2,678000,6.3,3143,2,1,2,0,0,0,-37.853802,145.012695,4836
3,1918000,6.3,3143,3,2,2,0,165,1995,-37.853699,145.026703,4836
2,660000,6.3,3143,2,1,1,0,0,0,-37.8619,145.025696,4836
3,2050000,6.3,3143,3,2,1,205,116,1910,-37.857399,145.028107,4836
2,700000,6.3,3143,2,1,2,0,0,0,-37.855202,145.016006,4836
2,3625000,6.3,3143,3,2,2,0,0,2006,-37.855499,145.029099,4836
4,3000000,6.3,3143,4,2,2,1581,0,1934,-37.858002,145.011093,4836
5,1525000,6.3,3143,8,2,2,693,0,0,-37.8638,145.022903,4836
3,735000,6.3,3143,3,2,1,2113,14,1970,-37.854301,145.026199,4836
2,825000,6.3,3143,2,1,1,0,0,0,-37.852798,145.026794,4836
3,1586000,6.3,3143,2,2,2,246,0,0,-37.856602,145.011597,4836
2,645000,6.3,3143,3,1,1,0,0,1960,-37.8596,145.019806,4836
1,1435000,6.3,3143,2,2,1,144,107,1900,-37.8564,145.022797,4836
1,280000,6.3,3143,1,1,1,0,38,1975,-37.8619,145.018494,4836
1,400000,6.3,3143,1,1,1,0,0,0,-37.8605,145.018494,4836
2,1780000,6.3,3143,2,2,2,0,0,0,-37.853699,145.026703,4836
2,592500,6.3,3143,2,1,1,0,73,1970,-37.857399,145.017395,4836
2,1210000,6.3,3143,2,1,0,249,96,1910,-37.854301,145.016006,4836
4,2801000,6.3,3143,4,2,2,624,222,1900,-37.8536,145.017303,4836
1,390000,6.3,3143,1,1,0,881,0,0,-37.861401,145.022202,4836
3,1800000,6.3,3143,3,2,2,405,121,1910,-37.8545,145.014496,4836
4,2200000,6.3,3143,4,1,2,495,163,1900,-37.861301,145.026398,4836
1,324000,6.3,3143,1,1,1,0,0,0,-37.853699,145.011398,4836
6,5525000,6.3,3143,5,3,4,1491,516,1935,-37.860199,145.013,4836
2,1125000,6.3,3143,3,1,2,169,0,0,-37.851002,145.016098,4836
3,2250000,6.3,3143,3,3,1,301,0,0,-37.851101,145.016693,4836
3,2360000,6.3,3143,3,2,0,336,0,0,-37.855801,145.014999,4836
2,1900000,6.3,3143,2,2,0,207,0,0,-37.857101,145.0224,4836
1,440000,6.3,3143,1,1,1,0,53,1970,-37.8531,145.011505,4836
2,490000,6.3,3143,2,1,1,0,0,1966,-37.864601,145.024704,4836
3,2365000,6.3,3143,3,2,1,316,0,0,-37.8521,145.018997,4836
3,1300000,6.3,3143,2,1,2,212,106,1900,-37.854198,145.014893,4836
3,732000,6.3,3143,3,2,2,0,0,0,-37.859699,145.010406,4836
2,704000,6.3,3143,2,1,1,0,74,1969,-37.8573,145.0186,4836
2,620000,6.3,3143,3,1,1,0,98,1970,-37.8596,145.019806,4836
3,1900000,6.3,3143,3,1,2,328,108,1900,-37.8559,145.015793,4836
1,315000,6.3,3143,1,1,1,0,0,0,-37.857498,145.017395,4836
1,450000,6.3,3143,1,1,1,0,0,0,-37.850899,145.020294,4836
2,710000,6.3,3143,2,1,1,2471,80,1970,-37.8573,145.0186,4836
2,872000,6.3,3143,2,1,1,1194,0,1953,-37.860401,145.014694,4836
2,598000,6.3,3143,2,1,1,0,88,1970,-37.859299,145.015594,4836
3,1285000,6.3,3143,3,1,2,186,80,1920,-37.8554,145.017303,4836
4,3660000,6.3,3143,4,3,2,421,0,0,-37.859299,145.027496,4836
2,520000,6.3,3143,1,1,1,0,76,1970,-37.861801,145.018295,4836
4,3625000,6.3,3143,4,1,2,709,251,1900,-37.857399,145.016006,4836
4,4200000,6.3,3143,4,3,3,563,333,2000,-37.8582,145.013794,4836
3,1101000,6.3,3143,3,1,2,103,3,2000,-37.854198,145.013504,4836
3,3512500,6.3,3143,3,2,2,617,285,1998,-37.855701,145.026398,4836
4,2000000,6.3,3143,4,3,4,544,0,0,-37.861099,145.019501,4836
3,869000,6.3,3143,2,1,1,0,91,1940,-37.853001,145.026398,4836
5,2810000,6.3,3143,5,2,2,617,0,0,-37.861099,145.0271,4836
2,565000,6.3,3143,3,1,1,0,0,0,-37.8573,145.0112,4836
1,567000,6.3,3143,1,1,1,0,53,2013,-37.8549,145.011307,4836
2,546000,6.3,3143,2,0,0,0,0,0,-37.8568,145.016098,4836
2,471500,6.3,3143,2,1,1,0,0,1980,-37.8503,145.018494,4836
2,455000,5.9,3032,3,1,2,0,0,0,-37.7756,144.916504,6567
3,940000,5.9,3032,3,1,2,298,108,1920,-37.777699,144.919495,6567
2,467000,5.9,3032,2,1,1,0,62,1980,-37.7761,144.920105,6567
3,1380000,5.9,3032,3,2,2,277,174,1910,-37.777699,144.922104,6567
2,490000,5.9,3032,2,1,1,423,62,1970,-37.773602,144.901505,6567
4,1850000,5.9,3032,4,3,1,478,270,1900,-37.7729,144.917892,6567
3,1284000,5.9,3032,3,1,2,623,0,1938,-37.775799,144.908905,6567
3,971000,5.9,3032,3,2,2,285,128,1900,-37.775002,144.909103,6567
2,710000,5.9,3032,2,1,1,214,77,1890,-37.777599,144.9142,6567
6,2425000,5.9,3032,6,3,2,1014,435,1887,-37.772099,144.918396,6567
2,750000,5.9,3032,2,1,1,226,92,1920,-37.774502,144.909302,6567
2,1053000,5.9,3032,2,1,1,269,109,1900,-37.774799,144.929001,6567
3,1377000,5.9,3032,3,1,1,417,168,1900,-37.7756,144.920807,6567
3,970000,5.9,3032,3,1,2,350,125,1904,-37.775902,144.910004,6567
2,940000,5.9,3032,2,1,1,330,0,0,-37.772999,144.904907,6567
2,751000,5.9,3032,2,1,1,118,79,1890,-37.780701,144.928802,6567
2,950000,5.9,3032,2,1,1,173,102,1900,-37.773102,144.920593,6567
2,685000,5.9,3032,2,1,2,228,90,1995,-37.771801,144.906601,6567
3,1230000,5.9,3032,4,1,2,594,148,1960,-37.781898,144.906403,6567
2,636500,5.9,3032,2,1,1,0,0,0,-37.7738,144.934494,6567
3,910000,5.9,3032,3,1,0,317,0,0,-37.774601,144.911194,6567
2,770000,5.9,3032,2,1,1,226,87,1900,-37.777401,144.918594,6567
3,960000,5.9,3032,3,2,2,229,0,2011,-37.777802,144.906494,6567
4,890000,5.9,3032,4,1,1,300,185,1890,-37.7766,144.914307,6567
2,965000,5.9,3032,2,1,1,170,0,0,-37.773201,144.920593,6567
3,1440000,5.9,3032,3,1,1,487,131,1900,-37.772499,144.914597,6567
2,955000,5.9,3032,2,1,0,255,0,0,-37.782501,144.920807,6567
2,450000,5.9,3032,2,1,1,0,0,2010,-37.773102,144.907394,6567
3,801000,5.9,3032,3,1,2,431,0,1950,-37.780998,144.9207,6567
3,1000000,5.9,3032,3,2,2,440,120,1955,-37.774601,144.903107,6567
3,1435000,5.9,3032,3,2,2,532,147,1950,-37.773701,144.904007,6567
1,390000,5.9,3032,1,1,1,0,58,1972,-37.772301,144.909393,6567
3,1425000,5.9,3032,3,2,2,495,139,1920,-37.782101,144.905502,6567
4,1340000,5.9,3032,3,2,2,683,232,1978,-37.775002,144.932007,6567
3,955000,5.9,3032,3,1,1,263,117,1910,-37.775299,144.911606,6567
4,1100000,5.9,3032,4,2,5,559,195,1920,-37.779099,144.913605,6567
3,1255000,5.9,3032,3,2,2,308,0,0,-37.775902,144.933807,6567
2,432000,5.9,3032,2,1,1,0,62,1978,-37.772999,144.930298,6567
4,1640000,5.9,3032,4,3,2,562,204,1890,-37.782001,144.903,6567
6,1430000,5.9,3032,4,2,1,461,286,1900,-37.779999,144.929504,6567
2,610000,5.9,3032,2,1,1,301,104,1995,-37.779099,144.914001,6567
3,940000,5.9,3032,3,3,1,491,127,1950,-37.772701,144.913605,6567
3,890000,5.9,3032,3,1,1,242,110,1920,-37.776501,144.911407,6567
3,1180000,5.9,3032,3,2,2,617,149,1930,-37.7742,144.906006,6567
4,1480000,5.9,3032,4,2,2,597,180,1939,-37.7757,144.908798,6567
2,1150000,5.9,3032,2,1,1,387,0,0,-37.773399,144.919098,6567
3,1350000,5.9,3032,3,1,3,575,0,0,-37.782799,144.904907,6567
5,1905000,5.9,3032,5,2,2,521,0,0,-37.777802,144.926102,6567
2,865000,5.9,3032,2,2,1,146,132,2015,-37.771301,144.903793,6567
2,705000,5.9,3032,2,2,1,113,0,1998,-37.771198,144.908798,6567
2,442000,5.9,3032,2,1,1,0,62,1975,-37.7733,144.921906,6567
2,540000,5.9,3032,2,2,1,0,0,0,-37.778599,144.914093,6567
3,1037500,5.9,3032,3,1,2,506,110,1920,-37.777901,144.9133,6567
3,1050000,5.9,3032,3,2,2,318,160,2013,-37.774399,144.903503,6567
2,440000,5.9,3032,2,1,1,0,65,1970,-37.774899,144.913696,6567
2,1010000,5.9,3032,2,1,1,325,0,0,-37.772202,144.911697,6567
4,1430000,5.9,3032,4,2,0,418,158,1900,-37.7766,144.918701,6567
2,570000,5.9,3032,2,1,1,0,0,0,-37.777901,144.913696,6567
2,690000,5.9,3032,2,1,1,0,0,0,-37.7728,144.916901,6567
3,1291000,5.9,3032,3,1,2,414,0,0,-37.7766,144.918503,6567
3,1130000,5.9,3032,3,2,1,272,157,1900,-37.777401,144.927994,6567
3,1135000,5.9,3032,3,1,1,296,104,1910,-37.777,144.917603,6567
4,950000,5.9,3032,4,2,1,298,147,1920,-37.777802,144.913101,6567
3,790000,5.9,3032,3,2,1,0,148,0,-37.772202,144.916306,6567
2,390000,5.9,3032,2,1,1,1957,69,2012,-37.773102,144.907394,6567
4,1345000,5.9,3032,4,1,1,552,155,1920,-37.776901,144.913803,6567
3,1381500,5.9,3032,3,2,2,416,168,1900,-37.772701,144.905502,6567
3,940000,5.9,3032,3,2,2,285,172,2011,-37.777802,144.906097,6567
3,995000,5.9,3032,3,2,1,314,177,2010,-37.777802,144.904205,6567
3,1050000,5.9,3032,3,1,3,536,0,0,-37.7728,144.907593,6567
3,786000,5.9,3032,3,2,1,576,120,1940,-37.781601,144.921707,6567
2,705000,5.9,3032,2,1,3,252,108,1910,-37.782501,144.920593,6567
