distance,postcode,bedroom,bathroom,car,landsize,building area,year built
3.300000,3206,3,3,1,0,0,0
3.300000,3206,1,1,0,81,54,1900
6.400000,3078,3,2,4,853,263,1930
6.400000,3078,3,2,2,208,131,2013
6.400000,3078,3,2,2,411,131,2013
6.400000,3078,4,2,1,599,203,1925
6.400000,3078,5,4,4,809,165,1910
6.400000,3078,2,1,1,88,60,1960
6.400000,3078,2,2,3,155,140,2004
6.400000,3078,2,1,1,0,61,1965
6.400000,3078,3,3,2,686,0,1967
6.400000,3078,3,1,2,592,0,0
6.400000,3078,2,1,1,183,60,1960
6.400000,3078,4,2,2,606,112,1970
6.400000,3078,4,2,2,575,271,2008
6.400000,3078,3,1,1,180,131,2010
6.400000,3078,2,1,1,0,60,1960
6.400000,3078,1,1,0,0,0,2007
6.400000,3078,2,1,1,0,61,1965
6.400000,3078,3,1,2,979,0,0
6.400000,3078,4,2,2,556,272,1930
6.400000,3078,3,1,0,597,0,2007
6.400000,3078,4,2,3,589,210,1920
13.800000,3018,3,2,1,352,242,2015
13.800000,3018,5,3,3,729,268,2005
13.800000,3018,2,1,2,292,125,2013
13.800000,3018,3,1,2,506,120,1930
13.800000,3018,4,1,4,655,0,0
13.800000,3018,4,3,6,1057,220,1962
13.800000,3018,2,1,2,311,94,1955
13.800000,3018,2,1,1,65,0,0
13.800000,3018,3,1,1,602,123,1955
13.800000,3018,3,1,1,530,123,1955
13.800000,3018,2,1,1,225,93,1988
13.800000,3018,3,1,4,777,22,1953
13.800000,3018,3,2,2,280,3,1997
13.800000,3018,2,1,1,127,76,1990
13.800000,3018,4,2,2,695,191,1950
13.800000,3018,2,1,2,115,57,1980
13.800000,3018,3,2,2,230,152,0
13.800000,3018,3,2,2,197,152,0
13.800000,3018,2,1,1,154,65,1965
13.800000,3018,2,1,1,65,0,0
13.800000,3018,4,1,2,745,130,1950
13.800000,3018,3,2,2,211,176,2015
13.800000,3018,3,2,1,69,141,2014
13.800000,3018,3,1,4,625,112,1960
13.800000,3018,2,1,1,168,0,0
13.800000,3018,2,1,1,137,77,1990
13.800000,3018,3,2,1,70,3,2014
13.800000,3018,3,1,2,606,87,1950
13.800000,3018,2,2,1,175,76,2013
13.800000,3018,3,1,2,363,0,0
13.800000,3018,3,2,2,534,136,1965
13.800000,3018,3,1,2,724,0,0
13.800000,3018,3,2,2,265,152,0
13.800000,3018,3,3,1,577,0,0
13.800000,3018,3,2,1,205,113,2007
13.800000,3018,4,1,2,797,130,1950
13.800000,3018,3,1,2,181,87,1950
13.800000,3018,3,2,2,529,152,0
13.800000,3018,2,2,1,675,100,1950
13.800000,3018,3,1,1,929,123,1955
13.800000,3018,3,2,1,70,3,2014
13.800000,3018,3,1,4,697,22,1953
13.800000,3018,3,1,2,604,120,1930
13.800000,3018,4,2,3,532,158,1970
13.800000,3018,2,1,1,154,91,1996
11.100000,3025,5,3,6,592,251,1965
11.100000,3025,3,1,2,533,117,1970
11.100000,3025,3,1,3,554,0,0
11.100000,3025,2,1,1,77,77,2009
11.100000,3025,3,1,3,655,0,0
11.100000,3025,3,1,2,534,167,1967
11.100000,3025,3,1,3,540,116,1960
11.100000,3025,3,2,1,0,130,2012
11.100000,3025,3,1,1,328,118,1970
11.100000,3025,3,1,3,540,116,1960
11.100000,3025,3,1,4,559,169,1965
11.100000,3025,3,1,3,554,0,0
11.100000,3025,2,1,1,252,70,1965
11.100000,3025,4,1,4,558,0,0
11.100000,3025,3,2,2,171,109,2012
11.100000,3025,3,1,2,585,97,1960
11.100000,3025,4,1,4,851,0,0
11.100000,3025,3,1,3,551,603,0
11.100000,3025,3,1,3,602,603,0
11.100000,3025,3,1,2,740,0,0
11.100000,3025,4,2,4,315,170,2008
11.100000,3025,5,2,2,276,100,2010
11.100000,3025,3,1,1,531,157,1960
11.100000,3025,3,2,1,590,160,1950
11.100000,3025,3,1,4,715,169,2008
11.100000,3025,3,1,2,561,0,0
11.100000,3025,2,1,2,691,117,1970
11.100000,3025,3,2,3,555,130,1960
11.100000,3025,4,1,2,708,109,1970
11.100000,3025,4,1,3,668,0,0
11.100000,3025,4,3,1,252,70,1965
11.100000,3025,4,1,4,633,158,1960
11.100000,3025,3,1,1,557,118,1970
11.100000,3025,3,1,1,536,118,1970
11.100000,3025,2,1,1,153,70,1970
6.300000,3143,2,1,1,0,76,1964
6.300000,3143,2,1,0,861,96,1910
6.300000,3143,3,2,2,0,100,1998
6.300000,3143,3,2,2,101,105,2000
6.300000,3143,3,2,2,296,150,1889
6.300000,3143,1,1,0,0,48,1966
6.300000,3143,3,1,1,217,116,1888
6.300000,3143,2,1,2,0,0,0
6.300000,3143,3,2,2,617,165,1995
6.300000,3143,2,1,1,0,0,0
6.300000,3143,3,2,1,205,116,1910
6.300000,3143,2,1,2,0,0,0
6.300000,3143,3,2,2,0,100,2006
6.300000,3143,4,2,2,1581,255,1934
6.300000,3143,8,2,2,693,0,0
6.300000,3143,3,2,1,2113,14,1970
6.300000,3143,2,1,1,0,0,1966
6.300000,3143,2,2,2,246,128,1910
6.300000,3143,3,1,1,0,98,1960
6.300000,3143,2,2,1,144,107,1900
6.300000,3143,1,1,1,0,38,1975
6.300000,3143,1,1,1,0,0,0
6.300000,3143,2,2,2,0,0,0
6.300000,3143,2,1,1,0,73,1970
6.300000,3143,2,1,0,249,96,1910
6.300000,3143,4,2,2,624,222,1900
6.300000,3143,1,1,0,881,48,1966
6.300000,3143,3,2,2,405,121,1910
6.300000,3143,4,1,2,495,163,1900
6.300000,3143,1,1,1,0,76,1970
6.300000,3143,5,3,4,1491,516,1935
6.300000,3143,3,1,2,169,80,1920
6.300000,3143,3,3,1,301,141,1920
6.300000,3143,3,2,2,336,105,2000
6.300000,3143,2,2,0,207,0,0
6.300000,3143,1,1,1,0,53,1970
6.300000,3143,2,1,1,0,73,1966
6.300000,3143,3,2,1,316,116,1910
6.300000,3143,2,1,2,212,106,1900
6.300000,3143,3,2,2,0,100,2006
6.300000,3143,2,1,1,0,74,1969
6.300000,3143,3,1,1,0,98,1970
6.300000,3143,3,1,2,328,108,1900
6.300000,3143,1,1,1,0,0,0
6.300000,3143,1,1,1,0,0,1960
6.300000,3143,2,1,1,2471,80,1970
6.300000,3143,2,1,1,1194,88,1953
6.300000,3143,2,1,1,0,88,1970
6.300000,3143,3,1,2,186,80,1920
6.300000,3143,4,3,2,421,180,1915
6.300000,3143,1,1,1,0,76,1970
6.300000,3143,4,1,2,709,251,1900
6.300000,3143,4,3,3,563,333,2000
6.300000,3143,3,1,2,103,3,2000
6.300000,3143,3,2,2,617,285,1998
6.300000,3143,4,3,4,544,516,1935
6.300000,3143,2,1,1,0,91,1940
6.300000,3143,5,2,2,617,165,1995
6.300000,3143,3,1,1,0,98,1970
6.300000,3143,1,1,1,0,53,2013
6.300000,3143,2,1,1,0,73,1970
6.300000,3143,2,1,1,0,0,1980
5.900000,3032,3,1,2,0,0,1972
5.900000,3032,3,1,2,298,108,1920
5.900000,3032,2,1,1,0,62,1980
5.900000,3032,3,2,2,277,174,1910
5.900000,3032,2,1,1,423,62,1970
5.900000,3032,4,3,1,478,270,1900
5.900000,3032,3,1,2,623,0,1938
5.900000,3032,3,2,2,285,128,1900
5.900000,3032,2,1,1,214,77,1890
5.900000,3032,6,3,2,1014,435,1887
5.900000,3032,2,1,1,226,92,1920
5.900000,3032,2,1,1,269,109,1900
5.900000,3032,3,1,1,417,168,1900
5.900000,3032,3,1,2,350,125,1904
5.900000,3032,2,1,1,330,62,1975
5.900000,3032,2,1,1,118,79,1890
5.900000,3032,2,1,1,173,102,1900
5.900000,3032,2,1,2,228,90,1995
5.900000,3032,4,1,2,594,148,1960
5.900000,3032,2,1,1,0,62,1978
5.900000,3032,3,1,0,317,0,0
5.900000,3032,2,1,1,226,87,1900
5.900000,3032,3,2,2,229,172,2011
5.900000,3032,4,1,1,300,185,1890
5.900000,3032,2,1,1,170,0,0
5.900000,3032,3,1,1,487,131,1900
5.900000,3032,2,1,0,255,0,0
5.900000,3032,2,1,1,0,62,2010
5.900000,3032,3,1,2,431,0,1950
5.900000,3032,3,2,2,440,120,1955
5.900000,3032,3,2,2,532,147,1950
5.900000,3032,1,1,1,0,58,1972
5.900000,3032,3,2,2,495,139,1920
5.900000,3032,3,2,2,683,232,1978
5.900000,3032,3,1,1,263,117,1910
5.900000,3032,4,2,5,559,195,1920
5.900000,3032,3,2,2,308,172,2011
5.900000,3032,2,1,1,0,62,1978
5.900000,3032,4,3,2,562,204,1890
5.900000,3032,4,2,1,461,286,1900
5.900000,3032,2,1,1,301,104,1995
5.900000,3032,3,3,1,491,127,1950
5.900000,3032,3,1,1,242,110,1920
5.900000,3032,3,2,2,617,149,1930
5.900000,3032,4,2,2,597,180,1939
5.900000,3032,2,1,1,387,0,0
5.900000,3032,3,1,3,575,0,0
5.900000,3032,5,2,2,521,149,1930
5.900000,3032,2,2,1,146,132,2015
5.900000,3032,2,2,1,113,132,1998
5.900000,3032,2,1,1,0,62,1975
5.900000,3032,2,2,1,103,0,0
5.900000,3032,3,1,2,506,110,1920
5.900000,3032,3,2,2,318,160,2013
5.900000,3032,2,1,1,0,65,1970
5.900000,3032,2,1,1,325,0,0
5.900000,3032,4,2,1,418,158,1900
5.900000,3032,2,1,1,0,62,1978
5.900000,3032,2,1,1,0,62,1978
5.900000,3032,3,1,2,414,0,0
5.900000,3032,3,2,1,272,157,1900
5.900000,3032,3,1,1,296,104,1910
5.900000,3032,4,2,1,298,147,1920
5.900000,3032,3,2,1,314,148,2010
5.900000,3032,2,1,1,1957,69,2012
5.900000,3032,4,1,1,552,155,1920
5.900000,3032,3,2,2,416,168,1900
5.900000,3032,3,2,2,285,172,2011
5.900000,3032,3,2,1,314,177,2010
5.900000,3032,3,1,3,536,0,0
5.900000,3032,3,2,1,576,120,1940
5.900000,3032,2,1,3,252,108,1910
5.900000,3032,2,1,1,124,77,1900
5.900000,3032,3,1,3,0,0,1972
5.900000,3032,3,2,2,200,144,2003
5.900000,3032,4,2,1,349,147,1920
5.900000,3032,4,1,4,664,155,1920
5.900000,3032,3,1,1,555,131,1900
5.900000,3032,3,2,2,459,174,1910
5.900000,3032,2,1,1,278,166,1900
5.900000,3032,3,2,1,254,157,1900
5.900000,3032,3,1,0,216,0,0
5.900000,3032,3,1,1,452,175,1960
5.900000,3032,2,1,2,194,71,1900
5.900000,3032,4,2,4,598,273,2012
5.900000,3032,2,1,1,194,0,0
5.900000,3032,2,1,1,407,0,0
11.000000,3147,4,3,2,753,399,2015
11.000000,3147,3,2,2,599,220,1930
11.000000,3147,3,2,2,203,0,0
11.000000,3147,3,3,4,310,315,2014
11.000000,3147,2,1,1,710,104,2010
11.000000,3147,2,1,2,679,0,0
11.000000,3147,3,2,2,731,149,1935
11.000000,3147,3,3,2,276,178,2004
11.000000,3147,3,1,2,583,112,1950
11.000000,3147,9,7,4,1472,618,2009
11.000000,3147,4,2,1,681,278,1940
11.000000,3147,3,2,2,516,145,1920
11.000000,3147,3,1,2,806,101,1950
11.000000,3147,3,1,3,780,152,1940
11.000000,3147,4,2,2,780,180,1938
11.000000,3147,3,2,2,351,228,2006
11.000000,3147,3,2,3,702,145,1945
11.000000,3147,2,1,2,704,0,0
11.000000,3147,5,5,2,755,444,2015
11.000000,3147,3,1,1,227,111,1950
11.000000,3147,3,2,2,153,110,1990
11.000000,3147,3,1,2,545,0,0
11.000000,3147,6,4,2,1075,390,2010
11.000000,3147,3,2,2,710,139,1945
11.000000,3147,4,2,4,749,206,1950
11.000000,3147,3,2,3,724,168,1940
11.000000,3147,3,1,1,605,111,1950
11.000000,3147,2,1,1,687,104,1940
11.000000,3147,4,2,2,321,199,2007
11.000000,3147,3,1,2,583,112,1950
11.000000,3147,5,3,4,700,266,1950
11.000000,3147,4,2,3,696,274,2000
11.000000,3147,3,2,2,295,110,1990
11.000000,3147,4,2,2,514,240,1935
11.000000,3147,4,2,2,844,278,1940
11.000000,3147,3,1,2,637,0,0
11.000000,3147,3,1,2,1063,112,1950
11.000000,3147,3,1,1,697,164,1947
12.200000,3147,2,1,1,583,80,1950
12.200000,3147,3,1,1,842,792,1950
12.200000,3147,3,2,2,467,130,2006
12.200000,3147,4,3,2,372,201,2016
12.200000,3147,2,1,2,695,114,1950
12.200000,3147,2,2,2,621,203,2000
12.200000,3147,3,1,2,723,112,1950
12.200000,3147,2,1,2,367,110,1970
12.200000,3147,3,2,4,400,94,1950
12.200000,3147,4,2,1,724,0,0
12.200000,3147,4,2,2,526,192,1950
12.200000,3147,3,1,1,792,792,1950
12.200000,3147,3,2,2,803,152,1970
12.200000,3147,4,3,2,724,201,2016
12.200000,3147,2,1,1,216,90,2003
12.200000,3147,3,2,3,782,215,1950
12.200000,3147,4,2,1,593,255,1930
12.200000,3147,2,1,2,772,88,2007
12.200000,3147,5,3,2,585,317,2000
12.200000,3147,2,1,1,153,80,1970
12.200000,3147,2,1,1,72,80,1950
12.200000,3147,3,1,1,557,120,1960
12.200000,3147,4,2,2,766,192,1950
12.200000,3147,2,1,2,192,88,2007
12.200000,3147,4,2,1,727,0,0
12.200000,3147,2,1,1,586,86,1950
12.200000,3147,3,1,1,760,120,1960
12.200000,3147,3,2,1,320,85,1958
12.200000,3147,3,2,2,256,134,2012
12.200000,3147,3,2,2,839,198,1970
12.200000,3147,2,1,2,212,130,2012
10.500000,3034,3,1,1,593,118,1970
10.500000,3034,3,1,1,593,103,1980
10.500000,3034,3,3,1,557,181,2017
10.500000,3034,3,1,2,542,120,1970
10.500000,3034,4,2,1,350,153,2008
10.500000,3034,3,2,2,569,225,2008
10.500000,3034,3,2,2,671,0,0
10.500000,3034,4,5,4,673,0,1960
10.500000,3034,2,1,2,571,0,1993
10.500000,3034,3,1,2,570,120,1970
10.500000,3034,4,3,2,789,322,1990
10.500000,3034,3,1,1,529,0,1960
10.500000,3034,3,1,1,550,143,1970
10.500000,3034,3,2,2,339,225,2008
10.500000,3034,4,3,3,761,281,1970
10.500000,3034,4,3,3,1801,281,1970
10.500000,3034,2,1,1,136,101,2012
10.500000,3034,3,1,3,574,0,0
10.500000,3034,3,1,4,606,0,0
10.500000,3034,3,2,1,289,150,2008
10.500000,3034,3,1,1,177,0,0
10.500000,3034,3,1,2,649,0,0
10.500000,3034,3,1,3,704,0,0
10.500000,3034,3,1,2,322,149,0
10.500000,3034,2,1,1,263,101,1999
10.500000,3034,3,1,2,766,149,0
10.500000,3034,5,2,4,574,0,1960
10.500000,3034,3,1,1,581,106,1960
10.500000,3034,4,3,2,873,395,1992
10.500000,3034,3,1,1,586,118,1965
10.500000,3034,3,1,2,588,149,0
10.500000,3034,2,1,1,220,101,1995
10.500000,3034,4,2,2,554,140,1960
10.500000,3034,3,1,1,260,0,1990
10.500000,3034,2,1,2,158,0,1993
10.500000,3034,3,2,2,705,225,2008
10.500000,3034,3,1,3,812,117,1960
10.500000,3034,3,2,8,585,225,2008
10.500000,3034,3,1,1,597,118,1970
10.500000,3034,4,2,2,589,150,1961
10.500000,3034,2,1,1,220,85,1995
10.500000,3034,4,2,2,570,140,1960
10.500000,3034,4,1,2,569,0,0
10.500000,3034,3,2,2,593,103,1970
10.500000,3034,4,2,4,585,140,1960
10.500000,3034,3,1,1,549,0,1960
10.500000,3034,4,2,1,582,153,1950
10.500000,3034,3,1,1,590,99,1960
10.500000,3034,3,2,3,638,150,2008
10.500000,3034,3,1,2,607,0,0
6.600000,3183,3,2,1,244,180,1900
6.600000,3183,2,1,2,114,61,1965
6.600000,3183,1,1,1,0,61,1960
6.600000,3183,2,1,2,114,120,2000
6.600000,3183,2,1,1,0,65,1960
6.600000,3183,2,1,1,0,58,1970
6.600000,3183,2,1,1,0,61,1960
6.600000,3183,3,1,1,178,100,1920
6.600000,3183,2,1,1,0,49,1960
6.600000,3183,2,1,1,0,50,1960
6.600000,3183,2,1,1,0,59,1970
6.600000,3183,2,1,2,159,84,1930
6.600000,3183,3,2,2,339,159,1890
6.600000,3183,2,1,1,483,51,1970
6.600000,3183,3,1,1,157,59,1928
6.600000,3183,1,1,0,0,0,1940
6.600000,3183,2,0,0,0,0,0
9.700000,3103,2,1,1,659,123,1920
9.700000,3103,4,2,2,715,218,1985
9.700000,3103,2,1,1,208,129,2000
9.700000,3103,3,2,2,206,112,1998
9.700000,3103,5,3,2,715,420,2009
9.700000,3103,4,2,2,744,226,1985
9.700000,3103,3,3,2,651,266,2006
9.700000,3103,5,5,2,651,410,2009
9.700000,3103,2,1,1,122,97,1977
9.700000,3103,6,4,7,2051,449,1935
9.700000,3103,2,2,2,288,0,0
9.700000,3103,5,3,2,600,356,2006
9.700000,3103,2,1,1,206,0,0
9.700000,3103,3,2,2,175,252,1976
9.700000,3103,3,2,1,853,0,0
9.700000,3103,5,3,2,678,349,2001
9.700000,3103,2,1,1,0,79,1950
9.700000,3103,3,2,2,308,112,1998
9.700000,3103,3,1,1,1015,166,1930
9.700000,3103,3,1,1,209,115,1975
9.700000,3103,3,1,1,188,110,1970
9.700000,3103,4,2,2,664,0,0
9.700000,3103,2,1,1,0,72,1960
9.700000,3103,3,2,2,699,252,1985
9.700000,3103,3,2,2,577,200,1948
9.700000,3103,2,1,1,0,70,2014
9.700000,3103,2,1,1,0,73,1960
9.700000,3103,1,1,1,740,70,2014
9.700000,3103,3,1,2,281,150,1995
9.700000,3103,4,3,2,453,308,2016
9.700000,3103,2,1,1,121,100,1960
9.700000,3103,4,3,4,1148,0,0
9.700000,3103,3,2,2,219,164,2003
9.700000,3103,5,3,2,678,349,2001
9.700000,3103,5,3,2,642,356,1930
9.700000,3103,4,3,2,241,240,2009
9.700000,3103,4,2,4,935,241,1927
9.700000,3103,2,1,1,115,104,1960
9.700000,3103,2,1,1,104,92,1980
9.700000,3103,3,1,4,671,465,0
9.700000,3103,4,3,2,674,336,1997
9.700000,3103,5,2,2,611,349,2001
9.700000,3103,2,1,1,0,79,1950
9.700000,3103,3,1,2,832,0,0
9.700000,3103,2,1,2,231,98,1985
9.700000,3103,3,2,2,380,112,1980
9.700000,3103,3,2,2,306,170,1995
9.700000,3103,3,1,2,651,150,1995
9.700000,3103,3,1,2,697,0,0
9.700000,3103,2,1,1,87,88,1990
9.700000,3103,5,5,2,671,410,2009
9.700000,3103,5,6,4,739,502,0
9.700000,3103,4,2,2,752,253,1981
9.700000,3103,2,1,1,213,92,1980
9.700000,3103,4,3,2,596,350,1910
9.700000,3103,4,3,2,1007,350,1910
9.700000,3103,4,3,2,674,336,1997
9.700000,3103,4,2,2,583,260,1960
9.700000,3103,4,2,1,685,207,1940
9.700000,3103,2,1,1,0,150,1960
9.700000,3103,4,2,1,842,207,1940
9.700000,3103,5,3,4,1468,420,2009
9.700000,3103,3,2,2,190,170,1995
9.700000,3103,3,1,2,739,291,1930
9.700000,3103,4,2,1,665,155,1940
9.700000,3103,3,2,1,706,166,1930
9.700000,3103,3,2,3,613,193,1943
9.700000,3103,5,4,3,1437,0,0
9.700000,3103,3,2,1,259,155,1940
9.700000,3103,5,3,2,715,420,2009
9.700000,3103,4,2,2,650,218,1985
9.700000,3103,4,2,2,981,260,1960
9.700000,3103,2,1,2,844,98,1985
9.700000,3103,2,1,1,130,80,1960
9.700000,3103,5,7,6,642,356,1930
9.700000,3103,3,2,2,404,190,2011
9.700000,3103,3,1,1,607,110,1950
9.700000,3103,3,1,1,672,115,1935
9.700000,3103,2,1,1,1611,79,1950
9.200000,3104,3,2,2,260,167,2000
9.200000,3104,3,2,1,778,154,1950
9.200000,3104,4,4,3,1135,275,1960
9.200000,3104,2,1,1,253,0,1950
9.200000,3104,7,2,0,942,0,0
9.200000,3104,4,2,2,647,185,1955
9.200000,3104,5,4,2,760,477,2015
9.200000,3104,4,2,2,642,215,1955
9.200000,3104,3,1,2,888,137,1950
9.200000,3104,4,2,2,750,214,1950
9.200000,3104,3,2,1,347,160,2011
9.200000,3104,3,1,3,772,720,1950
9.200000,3104,4,2,2,673,185,1960
9.200000,3104,3,1,2,665,124,1950
9.200000,3104,4,2,2,772,150,1955
9.200000,3104,4,2,3,736,225,1958
9.200000,3104,4,1,4,847,0,0
9.200000,3104,4,2,1,546,0,1960
9.200000,3104,3,4,2,886,520,2013
9.200000,3104,4,3,3,667,193,1950
9.200000,3104,3,2,1,207,144,2003
9.200000,3104,3,2,2,645,0,1953
9.200000,3104,4,2,2,724,201,1974
9.200000,3104,4,2,2,662,330,1965
9.200000,3104,3,2,2,610,0,1953
9.200000,3104,4,2,1,283,0,0
9.200000,3104,5,3,2,705,365,2013
9.200000,3104,4,2,2,619,254,1990
9.200000,3104,3,1,2,992,137,1950
9.200000,3104,4,2,2,714,150,1955
9.200000,3104,4,3,2,1274,275,1970
9.200000,3104,3,2,2,244,177,2009
9.200000,3104,4,4,2,624,154,1967
9.200000,3104,4,2,2,610,275,1993
9.200000,3104,4,3,2,657,355,2006
9.200000,3104,3,2,1,517,247,1970
9.200000,3104,4,2,2,715,330,1939
9.200000,3104,4,2,4,587,165,1960
9.200000,3104,4,3,2,1070,247,1992
9.200000,3104,2,1,1,694,112,1995
9.200000,3104,2,2,2,204,0,1957
9.200000,3104,4,3,2,689,213,1970
9.200000,3104,3,1,1,800,102,1950
9.200000,3104,5,3,2,900,355,1955
9.200000,3104,4,2,2,815,196,1960
9.200000,3104,5,2,1,1138,247,1970
9.200000,3104,3,1,2,464,0,0
9.200000,3104,3,2,3,763,168,1960
9.200000,3104,2,1,2,854,130,1948
9.200000,3104,3,1,1,542,0,0
9.200000,3104,3,3,1,310,188,2012
9.200000,3104,5,3,3,637,529,2008
9.200000,3104,3,3,2,665,232,1970
9.200000,3104,5,2,2,710,170,1955
9.200000,3104,5,2,2,1002,244,1950
9.200000,3104,3,1,4,605,116,1950
9.200000,3104,4,3,2,1247,50,1970
9.200000,3104,3,1,1,722,90,1930
9.200000,3104,4,2,2,1040,150,1955
9.200000,3104,4,2,2,1235,196,1960
9.200000,3104,4,3,1,904,420,2003
9.200000,3104,4,2,1,654,0,1960
9.200000,3104,3,1,2,713,720,1950
9.200000,3104,3,2,2,639,167,2000
9.200000,3104,4,3,2,869,170,1950
9.200000,3104,4,1,4,1042,0,0
9.200000,3104,2,1,2,467,130,1948
9.200000,3104,4,2,2,667,201,1974
9.200000,3104,4,3,1,362,200,2014
9.200000,3104,3,1,1,809,90,1930
9.200000,3104,4,3,4,707,420,2003
9.200000,3104,5,5,4,1364,518,2013
9.200000,3104,4,2,2,917,150,1955
9.200000,3104,4,2,2,1010,250,1950
9.200000,3104,3,2,2,349,0,1953
9.200000,3104,3,2,3,949,175,1940
9.200000,3104,2,1,4,701,0,1970
9.200000,3104,2,1,1,177,85,1975
9.200000,3104,6,1,6,691,5,1950
9.200000,3104,3,2,2,368,177,2009
9.200000,3104,3,2,2,760,167,2000
