suburb,address,rooms,type,price,method,seller,date,distance,postcode,bedroom,bathroom,car,landsize,building_area,year_built,council_area,lattitude,longitude,region_name,property_count
Airport West,154 Halsey Rd,3,t,840000,PI,Nelson,03-09-2016,13.499999,3042,3,2,1,303,225,2016,Moonee Valley,-37.717999,144.878006,Western Metropolitan,3464
Airport West,50 Bedford St,3,h,730000,VB,Nelson,03-12-2016,13.499999,3042,3,2,1,0,145,1965,Moonee Valley,-37.720299,144.875504,Western Metropolitan,3464
Airport West,50 Bedford St,3,h,770000,SP,Nelson,04-03-2017,13.499999,3042,3,2,1,0,145,1965,Moonee Valley,-37.720299,144.875504,Western Metropolitan,3464
Airport West,23 Hart St,2,h,603000,S,Nelson,04-03-2017,13.499999,3042,2,1,1,272,84,1950,Moonee Valley,-37.729401,144.888,Western Metropolitan,3464
Airport West,1/80 Hawker St,3,t,700000,S,Brad,04-03-2017,13.499999,3042,3,2,2,239,134,2009,Moonee Valley,-37.721802,144.883698,Western Metropolitan,3464
Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,04-03-2017,13.499999,3042,2,1,1,290,116,1980,Moonee Valley,-37.727299,144.874405,Western Metropolitan,3464
Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,04-03-2017,13.499999,3042,2,1,1,168,86,2011,Moonee Valley,-37.7215,144.886398,Western Metropolitan,3464
Airport West,54 Marshall Rd,3,h,720000,S,Barry,06-08-2016,13.499999,3042,2,1,1,620,0,1196,Moonee Valley,-37.7173,144.887207,Western Metropolitan,3464
Airport West,36 Roberts Rd,4,h,785000,S,Considine,06-08-2016,13.499999,3042,3,1,2,597,127,1196,Moonee Valley,-37.725899,144.879196,Western Metropolitan,3464
Airport West,11 Harrington Rd,6,h,725000,SP,Barry,07-05-2016,13.499999,3042,6,3,2,976,186,1980,Moonee Valley,-37.7239,144.873505,Western Metropolitan,3464
Airport West,2/252 Parer Rd,2,t,450000,S,Barry,07-05-2016,13.499999,3042,2,1,1,110,90,2015,Moonee Valley,-37.7216,144.871002,Western Metropolitan,3464
Airport West,3/19 Hart St,2,u,515000,S,Barry,07-11-2016,13.499999,3042,2,1,1,141,73,2013,Moonee Valley,-37.729801,144.888306,Western Metropolitan,3464
Airport West,2/62 Clydesdale Rd,2,u,530000,S,Nelson,10-09-2016,13.499999,3042,2,1,1,120,94,2012,Moonee Valley,-37.7234,144.879196,Western Metropolitan,3464
Airport West,3 Deidre Ct,3,h,895000,PI,Rendina,10-09-2016,13.499999,3042,3,1,6,1063,133,1975,Moonee Valley,-37.724899,144.872803,Western Metropolitan,3464
Airport West,13 Etzel St,3,h,805000,S,Nelson,10-12-2016,13.499999,3042,3,1,1,0,105,1950,Moonee Valley,-37.721699,144.878296,Western Metropolitan,3464
Airport West,1/43 Cameron St,3,u,752000,S,Nelson,11-02-2017,13.499999,3042,3,1,1,265,130,1993,Moonee Valley,-37.730202,144.885498,Western Metropolitan,3464
Airport West,145a Victory Rd,2,u,440000,S,Barry,13-08-2016,13.499999,3042,2,1,1,192,0,1196,Moonee Valley,-37.717701,144.878693,Western Metropolitan,3464
Airport West,241 Parer Rd,5,h,755000,PI,Propertyau,14-05-2016,13.499999,3042,3,2,2,596,0,1196,Moonee Valley,-37.7248,144.869904,Western Metropolitan,3464
Airport West,2/40 Earl St,3,t,700000,PI,Brad,15-10-2016,13.499999,3042,3,2,2,165,133,2009,Moonee Valley,-37.727001,144.886993,Western Metropolitan,3464
Airport West,180 Parer Rd,3,h,830000,S,Barry,16-04-2016,13.499999,3042,3,1,2,971,113,1960,Moonee Valley,-37.718601,144.876007,Western Metropolitan,3464
Airport West,4/54 Hawker St,2,u,462500,S,Barry,16-07-2016,13.499999,3042,2,1,1,164,0,2003,Moonee Valley,-37.721802,144.886307,Western Metropolitan,3464
Airport West,43 Hillside Gr,3,h,670000,SP,Barry,16-07-2016,13.499999,3042,3,2,2,657,0,1196,Moonee Valley,-37.726898,144.874207,Western Metropolitan,3464
Airport West,174 Parer Rd,2,h,675000,S,Barry,16-07-2016,13.499999,3042,2,1,1,612,100,1975,Moonee Valley,-37.7187,144.876495,Western Metropolitan,3464
Airport West,138 Victory Rd,3,h,1042000,S,Nelson,16-07-2016,13.499999,3042,3,2,5,612,174,1950,Moonee Valley,-37.7173,144.879593,Western Metropolitan,3464
Airport West,75 King St,3,h,910000,S,McDonald,17-09-2016,13.499999,3042,3,1,1,775,0,1196,Moonee Valley,-37.723099,144.883499,Western Metropolitan,3464
Airport West,6 Kittyhawk St,4,h,773000,S,Brad,17-09-2016,13.499999,3042,5,3,4,531,309,1980,Moonee Valley,-37.726299,144.867905,Western Metropolitan,3464
Airport West,478 Fullarton Rd,3,h,810000,PI,Barry,18-03-2017,13.499999,3042,3,3,2,555,192,1980,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464
Airport West,144 Marshall Rd,3,h,715000,S,Rendina,18-03-2017,13.499999,3042,3,2,2,422,126,1995,Moonee Valley,-37.7164,144.879196,Western Metropolitan,3464
Airport West,106 Parer Rd,3,h,790000,S,Nelson,18-03-2017,13.499999,3042,3,1,3,614,0,1196,Moonee Valley,-37.719398,144.882706,Western Metropolitan,3464
Airport West,3/7 South Rd,3,t,540000,SP,Nelson,18-06-2016,13.499999,3042,2,2,1,161,101,2010,Moonee Valley,-37.723099,144.880203,Western Metropolitan,3464
Airport West,37 North St,3,t,825000,SP,Barry,19-11-2016,13.499999,3042,3,2,1,293,102,1960,Moonee Valley,-37.720001,144.877594,Western Metropolitan,3464
Airport West,10 Hilbert Rd,3,h,685000,S,Barry,22-05-2016,13.499999,3042,3,1,1,579,113,1975,Moonee Valley,-37.722599,144.873306,Western Metropolitan,3464
Airport West,110 Halsey Rd,3,h,805000,S,Barry,22-08-2016,13.499999,3042,3,1,1,623,0,1196,Moonee Valley,-37.718399,144.882004,Western Metropolitan,3464
Airport West,2/13 North St,2,u,510000,S,Nelson,22-08-2016,13.499999,3042,2,1,1,141,76,1196,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464
Airport West,105a Victory Rd,3,h,612000,S,Nelson,22-08-2016,13.499999,3042,3,2,1,212,0,1196,Moonee Valley,-37.718102,144.882401,Western Metropolitan,3464
Airport West,117 Marshall Rd,3,h,662000,S,Brad,23-04-2016,13.499999,3042,3,1,2,612,0,1196,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464
Airport West,34 Moorna Dr,4,h,978000,S,Nelson,24-09-2016,13.499999,3042,4,3,2,532,0,1196,Moonee Valley,-37.726299,144.869003,Western Metropolitan,3464
Airport West,33 North St,3,h,720000,PI,Nelson,25-02-2017,13.499999,3042,3,1,1,585,0,1196,Moonee Valley,-37.720001,144.878006,Western Metropolitan,3464
Airport West,49 Roberts Rd,4,h,765000,S,Prof.,27-11-2016,13.499999,3042,4,1,2,509,0,1196,Moonee Valley,-37.726101,144.878494,Western Metropolitan,3464
Airport West,85 Roberts Rd,4,h,900000,S,Harcourts,27-11-2016,13.499999,3042,4,2,3,628,146,1975,Moonee Valley,-37.725601,144.873901,Western Metropolitan,3464
Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,03-09-2016,3.3,3206,2,1,0,120,82,1900,Port Phillip,-37.845901,144.955505,Southern Metropolitan,3280
Albert Park,85 Richardson St,2,h,1455000,S,Thomson,03-09-2016,3.3,3206,2,1,0,159,0,1196,Port Phillip,-37.845001,144.953796,Southern Metropolitan,3280
Albert Park,112 Beaconsfield Pde,3,h,2850000,PI,Buxton,04-03-2017,3.3,3206,3,2,0,211,198,1890,Port Phillip,-37.848099,144.949905,Southern Metropolitan,3280
Albert Park,94 Graham St,3,h,1850000,S,Greg,04-03-2017,3.3,3206,3,2,0,128,133,1890,Port Phillip,-37.8452,144.948807,Southern Metropolitan,3280
Albert Park,396 Montague St,2,h,1436000,S,RT,04-03-2017,3.3,3206,2,1,0,130,81,1900,Port Phillip,-37.843102,144.956497,Southern Metropolitan,3280
Albert Park,75 Graham St,2,h,1110000,S,Marshall,06-08-2016,3.3,3206,1,1,0,147,0,1900,Port Phillip,-37.844398,144.948395,Southern Metropolitan,3280
Albert Park,54 Brooke St,2,h,1550000,S,Sotheby's,07-05-2016,3.3,3206,2,1,1,167,0,1196,Port Phillip,-37.8405,144.952103,Southern Metropolitan,3280
Albert Park,104 Richardson St,4,h,2300000,S,Marshall,07-05-2016,3.3,3206,4,2,1,153,180,1880,Port Phillip,-37.8447,144.952301,Southern Metropolitan,3280
Albert Park,4a Mills St,3,t,1550000,VB,Marshall,07-11-2016,3.3,3206,3,2,2,718,0,1196,Port Phillip,-37.844299,144.959793,Southern Metropolitan,3280
Albert Park,1 Moubray St,3,h,1800000,VB,Greg,07-11-2016,3.3,3206,3,2,1,132,159,1996,Port Phillip,-37.841499,144.951996,Southern Metropolitan,3280
Albert Park,29 Faussett St,2,h,2120000,S,Greg,10-09-2016,3.3,3206,2,1,1,199,107,1900,Port Phillip,-37.842201,144.955399,Southern Metropolitan,3280
Albert Park,3 Herbert St,3,h,1800000,VB,Cayzer,10-09-2016,3.3,3206,3,1,1,253,0,1196,Port Phillip,-37.844299,144.957901,Southern Metropolitan,3280
Albert Park,24 Kerferd Pl,3,h,1800000,S,Marshall,10-09-2016,3.3,3206,3,2,1,90,122,1900,Port Phillip,-37.842098,144.957108,Southern Metropolitan,3280
Albert Park,44 Draper St,2,h,1810000,PI,Greg,10-12-2016,3.3,3206,2,1,0,240,0,1196,Port Phillip,-37.837898,144.953903,Southern Metropolitan,3280
Albert Park,2 Dundas Pl,3,h,2615000,S,Cayzer,10-12-2016,3.3,3206,3,2,1,177,181,1880,Port Phillip,-37.841499,144.958496,Southern Metropolitan,3280
Albert Park,23 Finlay St,5,h,2100000,S,Greg,10-12-2016,3.3,3206,5,2,1,237,0,1196,Port Phillip,-37.843601,144.955704,Southern Metropolitan,3280
Albert Park,31 Richardson St,3,h,1300000,S,hockingstuart,10-12-2016,3.3,3206,3,1,0,129,0,1196,Port Phillip,-37.842201,144.949005,Southern Metropolitan,3280
Albert Park,4a Gatehouse La,3,h,1370000,S,Greg,12-06-2016,3.3,3206,3,2,2,0,85,2000,Port Phillip,-37.8451,144.951096,Southern Metropolitan,3280
Albert Park,60 Brooke St,2,h,1000000,S,Cayzer,12-11-2016,3.3,3206,2,1,0,288,0,1196,Port Phillip,-37.840698,144.952301,Southern Metropolitan,3280
Albert Park,70 Barrett St,3,h,2575000,S,Greg,15-10-2016,3.3,3206,3,2,1,228,0,1196,Port Phillip,-37.844501,144.950104,Southern Metropolitan,3280
Albert Park,65 Graham St,2,h,1322500,S,Greg,15-10-2016,3.3,3206,2,1,0,149,98,1890,Port Phillip,-37.844299,144.948105,Southern Metropolitan,3280
Albert Park,364 Montague St,2,h,1562500,S,Greg,15-10-2016,3.3,3206,2,1,0,141,83,1890,Port Phillip,-37.8424,144.956207,Southern Metropolitan,3280
Albert Park,86 Mills St,3,h,2000000,VB,RT,16-04-2016,3.3,3206,3,2,1,211,147,1900,Port Phillip,-37.847,144.957504,Southern Metropolitan,3280
Albert Park,129 Kerferd Rd,3,h,1900000,S,Greg,18-03-2017,3.3,3206,3,1,0,209,0,1900,Port Phillip,-37.846802,144.954605,Southern Metropolitan,3280
Albert Park,97 Page St,3,h,3010000,S,Greg,18-03-2017,3.3,3206,3,2,0,147,146,1890,Port Phillip,-37.847301,144.955093,Southern Metropolitan,3280
Albert Park,55 Withers St,4,h,2800000,VB,Cayzer,18-06-2016,3.3,3206,4,3,1,327,254,1910,Port Phillip,-37.846699,144.947495,Southern Metropolitan,3280
Albert Park,10/140 Kerferd Rd,2,u,647000,S,Greg,22-05-2016,3.3,3206,2,1,1,0,0,1196,Port Phillip,-37.846001,144.954193,Southern Metropolitan,3280
Albert Park,55 Merton St,3,h,2100000,SP,Marshall,23-04-2016,3.3,3206,2,1,1,120,123,1900,Port Phillip,-37.842701,144.954605,Southern Metropolitan,3280
Albert Park,49 Page St,3,h,2000000,PI,Marshall,24-09-2016,3.3,3206,3,1,1,238,131,1890,Port Phillip,-37.8461,144.952805,Southern Metropolitan,3280
Albert Park,13/52 Moubray St,1,u,442500,S,Marshall,25-02-2017,3.3,3206,1,1,0,0,34,1970,Port Phillip,-37.842098,144.951706,Southern Metropolitan,3280
Albert Park,115 Page St,4,h,4735000,S,Marshall,25-02-2017,3.3,3206,4,2,1,330,207,1910,Port Phillip,-37.847698,144.955795,Southern Metropolitan,3280
Albert Park,32 Page St,2,h,1340000,S,Greg,25-02-2017,3.3,3206,2,1,0,136,0,1196,Port Phillip,-37.846001,144.951706,Southern Metropolitan,3280
Albert Park,34 Richardson St,3,h,1801000,S,hockingstuart,25-02-2017,3.3,3206,3,1,1,202,0,1196,Port Phillip,-37.842899,144.949295,Southern Metropolitan,3280
Albert Park,2b Dundas Pl,3,h,1532000,S,Chisholm,26-07-2016,3.3,3206,3,3,1,0,0,1196,Port Phillip,-37.841499,144.958496,Southern Metropolitan,3280
Albert Park,22 Greig St,3,h,3755000,S,Greg,26-07-2016,3.3,3206,3,2,2,325,0,1196,Port Phillip,-37.841301,144.949997,Southern Metropolitan,3280
Albert Park,27 Barrett St,4,h,2140000,S,Greg,27-06-2016,3.3,3206,3,2,1,183,145,1880,Port Phillip,-37.843399,144.949493,Southern Metropolitan,3280
Albert Park,44 Greig St,2,h,1750000,S,Marshall,27-11-2016,3.3,3206,2,1,1,162,0,1196,Port Phillip,-37.841599,144.948807,Southern Metropolitan,3280
Albert Park,6 Brooke St,2,h,980000,S,Greg,28-05-2016,3.3,3206,2,1,0,79,68,1890,Port Phillip,-37.838699,144.951904,Southern Metropolitan,3280
Albert Park,227a Danks St,3,h,2030000,S,hockingstuart,28-08-2016,3.3,3206,3,2,0,152,0,1196,Port Phillip,-37.848801,144.955093,Southern Metropolitan,3280
Albert Park,17 Reed St,3,h,1740000,PI,Marshall,28-08-2016,3.3,3206,3,2,2,147,134,1890,Port Phillip,-37.844799,144.945297,Southern Metropolitan,3280
Albert Park,74 Bridport St,3,h,2800000,VB,Buxton,30-07-2016,3.3,3206,3,3,1,0,0,1196,Port Phillip,-37.839901,144.957703,Southern Metropolitan,3280
Albert Park,9 Durham St,1,h,985000,S,Marshall,30-07-2016,3.3,3206,1,1,0,81,54,1900,Port Phillip,-37.841099,144.949707,Southern Metropolitan,3280
Alphington,6 Smith St,4,h,2000000,S,Brace,03-09-2016,6.4,3078,3,2,4,853,263,1930,Darebin,-37.770699,145.031799,Northern Metropolitan,2211
Alphington,5/6 Yarralea St,3,h,1110000,S,Jellis,03-09-2016,6.4,3078,3,2,2,208,0,2013,Yarra,-37.7854,145.032501,Northern Metropolitan,2211
Alphington,136A Fulham Rd,3,h,1492000,S,Jellis,04-03-2017,6.4,3078,3,2,2,411,0,1196,Darebin,-37.771301,145.027893,Northern Metropolitan,2211
Alphington,44 Shiers St,4,h,1717500,S,Collins,08-10-2016,6.4,3078,4,2,1,599,203,1925,Darebin,-37.771702,145.031006,Northern Metropolitan,2211
Alphington,83 Fulham Rd,5,h,2840000,S,Nelson,12-06-2016,6.4,3078,5,4,4,809,165,1910,Darebin,-37.775002,145.026794,Northern Metropolitan,2211
Alphington,3/19 Harker St,2,u,525500,S,Miles,12-11-2016,6.4,3078,2,1,1,88,60,1960,Darebin,-37.779099,145.030594,Northern Metropolitan,2211
Alphington,4/2 Miller St,2,t,805000,S,Miles,12-11-2016,6.4,3078,2,2,3,155,140,2004,Darebin,-37.780399,145.030807,Northern Metropolitan,2211
Alphington,2/5 Yarana Rd,2,u,465000,S,McGrath,12-11-2016,6.4,3078,2,1,1,0,0,1196,Darebin,-37.777302,145.031403,Northern Metropolitan,2211
Alphington,815 Heidelberg Rd,3,h,2000000,PI,hockingstuart,15-10-2016,6.4,3078,3,3,2,686,0,1196,Darebin,-37.779999,145.034103,Northern Metropolitan,2211
Alphington,44 Naroon Rd,3,h,1540000,S,Nelson,16-04-2016,6.4,3078,3,1,2,592,0,1196,Darebin,-37.775501,145.028793,Northern Metropolitan,2211
Alphington,3/98 Grange Rd,2,u,820000,S,Nelson,18-03-2017,6.4,3078,2,1,1,183,0,1196,Darebin,-37.7747,145.026398,Northern Metropolitan,2211
Alphington,10 Bennett St,4,h,1830000,S,Nelson,19-11-2016,6.4,3078,4,2,2,606,112,1970,Darebin,-37.7743,145.031601,Northern Metropolitan,2211
Alphington,38 Bennett St,4,h,2100000,S,Nelson,19-11-2016,6.4,3078,4,2,2,575,271,2008,Darebin,-37.772301,145.031906,Northern Metropolitan,2211
Alphington,2c Hamilton St,3,h,865000,SP,hockingstuart,22-05-2016,6.4,3078,3,1,1,180,131,2010,Darebin,-37.780201,145.024307,Northern Metropolitan,2211
Alphington,5/5 Yarana Rd,2,u,390000,VB,Nelson,22-05-2016,6.4,3078,2,1,1,0,60,1960,Darebin,-37.777302,145.031403,Northern Metropolitan,2211
Alphington,7/7 Chandler Hwy,2,t,650000,SP,Brace,24-09-2016,6.4,3078,0,1,0,0,0,1196,Yarra,-37.784801,145.024994,Northern Metropolitan,2211
Alphington,1/14 Fulham Rd,2,u,512000,S,Love,25-02-2017,6.4,3078,2,1,1,0,61,1965,Darebin,-37.780499,145.026199,Northern Metropolitan,2211
Alphington,22 Lowther St,3,h,1165000,S,Barry,27-06-2016,6.4,3078,3,1,2,979,0,1196,Yarra,-37.779202,145.029007,Northern Metropolitan,2211
Alphington,11 Margaret Gr,4,h,1900000,SP,McGrath,27-11-2016,6.4,3078,4,2,2,556,272,1930,Yarra,-37.784401,145.022507,Northern Metropolitan,2211
Alphington,6 Naroon Rd,3,h,1485000,SP,McGrath,28-08-2016,6.4,3078,3,0,0,597,0,1196,Darebin,-37.778099,145.028397,Northern Metropolitan,2211
Alphington,42 Shiers St,4,h,1950000,S,Jellis,30-07-2016,6.4,3078,4,2,3,589,210,1920,Darebin,-37.7719,145.030899,Northern Metropolitan,2211
Altona,158 Queen St,3,h,520000,VB,Greg,03-09-2016,13.8,3018,3,2,1,352,242,2015,Hobsons Bay,-37.869999,144.824997,Western Metropolitan,5301
Altona,59 Bracken Gr,5,h,1525000,S,Greg,03-12-2016,13.8,3018,5,3,3,729,268,2005,Hobsons Bay,-37.872101,144.810501,Western Metropolitan,5301
Altona,1/123 Blyth St,2,t,720000,S,hockingstuart,04-02-2016,13.8,3018,2,1,2,292,125,2013,Hobsons Bay,-37.868698,144.819702,Western Metropolitan,5301
Altona,4 Blyth St,3,h,1120000,S,Barlow,04-03-2017,13.8,3018,3,1,2,506,120,1930,Hobsons Bay,-37.869301,144.837494,Western Metropolitan,5301
Altona,20 Linnet St,4,h,780000,PI,Sweeney,04-06-2016,13.8,3018,4,1,4,655,0,1196,Hobsons Bay,-37.868,144.815399,Western Metropolitan,5301
Altona,29 Rose St,4,h,1780000,SP,Greg,04-06-2016,13.8,3018,4,3,6,1057,220,1962,Hobsons Bay,-37.868099,144.819,Western Metropolitan,5301
Altona,1/170 Blyth St,3,u,630000,S,Barlow,06-08-2016,13.8,3018,2,1,2,311,94,1955,Hobsons Bay,-37.870201,144.814301,Western Metropolitan,5301
Altona,5/35 Grieve Pde,2,u,406000,SP,hockingstuart,06-08-2016,13.8,3018,2,1,1,65,0,1196,Hobsons Bay,-37.869301,144.817093,Western Metropolitan,5301
Altona,156 Maidstone St,3,h,660000,VB,Greg,07-05-2016,13.8,3018,3,1,1,602,123,1955,Hobsons Bay,-37.861599,144.8116,Western Metropolitan,5301
Altona,11 Keeshan Ct,3,h,683500,S,Greg,07-11-2016,13.8,3018,3,1,1,530,0,1196,Hobsons Bay,-37.859402,144.817001,Western Metropolitan,5301
Altona,1/136 Queen St,2,u,580000,S,Barlow,08-10-2016,13.8,3018,2,1,1,225,93,1988,Hobsons Bay,-37.869598,144.826996,Western Metropolitan,5301
Altona,173 Queen St,3,h,1335000,S,hockingstuart,08-10-2016,13.8,3018,3,1,4,777,22,1953,Hobsons Bay,-37.869701,144.824905,Western Metropolitan,5301
Altona,1/265 Queen St,3,t,800000,SP,hockingstuart,08-10-2016,13.8,3018,3,2,2,280,0,1997,Hobsons Bay,-37.873402,144.814301,Western Metropolitan,5301
Altona,3/26 Grieve Pde,2,u,510000,S,Village,10-09-2016,13.8,3018,2,1,1,127,76,1990,Hobsons Bay,-37.868599,144.818207,Western Metropolitan,5301
Altona,261 Queen St,4,h,1070000,S,Barlow,10-09-2016,13.8,3018,4,2,2,695,0,1196,Hobsons Bay,-37.873299,144.814697,Western Metropolitan,5301
Altona,4/5 Rose St,2,u,425000,S,hockingstuart,10-09-2016,13.8,3018,2,1,2,115,57,1980,Hobsons Bay,-37.870998,144.818497,Western Metropolitan,5301
Altona,1/60 David St,3,u,605000,S,Jas,10-12-2016,13.8,3018,3,2,2,230,0,1196,Hobsons Bay,-37.864601,144.826996,Western Metropolitan,5301
Altona,1A Merritt Ct,3,t,705000,S,hockingstuart,11-02-2017,13.8,3018,3,2,2,197,152,1196,Hobsons Bay,-37.857899,144.8181,Western Metropolitan,5301
